customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age Group,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,Age_Group,detail_cust_title,customer_title
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,94,86,2017-12-23,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,00:00.0,110.56,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,3765,38,2017-06-04,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,00:00.0,751.02,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,5157,47,2017-11-05,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,00:00.0,189.28,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,9785,72,2017-05-01,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,00:00.0,90.1,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,13424,2,2017-02-21,0,Approved,Solex,Standard,medium,medium,71.49,53.62,00:00.0,17.87,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,13644,25,2017-05-19,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,00:00.0,709.34,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,14486,23,2017-03-27,0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,00:00.0,75.75,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,14931,31,2017-12-14,1,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,00:00.0,57.73,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,15663,32,2017-04-06,1,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,00:00.0,431.33,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,16423,9,2017-09-12,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,00:00.0,75.14,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,70.0,51-100,18970,11,2017-03-29,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,00:00.0,509.97,7,11,3018.0899999999992,4,4,3,443,80,Very Loyal,Very Loyal
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,43.0,36-50,2261,1,2017-04-05,1,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,00:00.0,448.68,54,3,2226.26,2,1,2,212,50,High Risk Customer,High Risk Customer
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,43.0,36-50,6743,85,2017-11-06,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,00:00.0,547.28,54,3,2226.26,2,1,2,212,50,High Risk Customer,High Risk Customer
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,43.0,36-50,16411,26,2017-08-24,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,00:00.0,1230.3,54,3,2226.26,2,1,2,212,50,High Risk Customer,High Risk Customer
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69.0,51-100,10302,33,2017-02-23,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,00:00.0,144.26,102,7,3290.21,1,3,3,133,70,Almost Lost Customer,Almost Lost Customer
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69.0,51-100,11005,94,2017-09-16,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,00:00.0,641.64,102,7,3290.21,1,3,3,133,70,Almost Lost Customer,Almost Lost Customer
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69.0,51-100,11784,55,2017-04-21,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,00:00.0,1295.43,102,7,3290.21,1,3,3,133,70,Almost Lost Customer,Almost Lost Customer
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69.0,51-100,12954,77,2017-05-04,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,00:00.0,445.21,102,7,3290.21,1,3,3,133,70,Almost Lost Customer,Almost Lost Customer
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69.0,51-100,13285,47,2017-04-09,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,00:00.0,189.28,102,7,3290.21,1,3,3,133,70,Almost Lost Customer,Almost Lost Customer
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69.0,51-100,15188,82,2017-03-24,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,00:00.0,459.46,102,7,3290.21,1,3,3,133,70,Almost Lost Customer,Almost Lost Customer
